id,chat,label,cleaned_message
59,takabur lahir penguasa rakyat ulama cendikia iblis mahluq yg alim amp beribadah beratus2 th dilaknat krn hasud takabburnya ahli ilmu filsafat yg tdk failosof mari demo sendi,neutral,takabur lahir penguasa rakyat ulama cendikia iblis mahluq yang alim amp beribadah beratus th dilaknat krn hasud takaburnya ahli ilmu filsafat yang tidak failosof mari demo sendi
60,orang suka konserkonser boros,neutral,orang suka konserkonser boros
61,ulama hukum rokok mubah,neutral,ulama hukum rokok mubah
62,cari safe zone cuy lawan imba,neutral,cari safe zone cuy lawan imba
63,user udah kali gue kpoper kalo ngomong temen2 gue idol gua banci homo,harassment,sudah kali saya kpoper kalau ngomong temen saya idol gua banci homo
64,suka mainmu beneran gg dah,neutral,suka mainmu beneran g dah
65,budaya kafir bersungguh klau hal2 islam diendahkan,violence,budaya kafir bersunguh klau hal islam diendahkan
66,user user user user \xf0\x9f\x8e\xb6 la la lahm hmm \xf0\x9f\x8e\xa7 diam bisu\nkita coba rumput yg bergoyang \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa,neutral,la la lah diam bisunkita coba rumput yang bergoyang n
67,setan membisikkan waswas kepadamu mintalah perlindungan allah q ala\xe2\x80\x99raf 200 fushilat 36,neutral,setan membisikan waswas kepadamu mintalah perlindungan alah q alaraf fushilat
68,user user user user user user user klw ente atheisngapain sibuk dgn agama orang,neutral,klw ente atheisngapain sibuk dengan agama orang
69,kalahin bangsat pake otak lo napa janganjangan ga,violence,kalahin bangsat pake otak lo napa janganjangan tidak
70,user selamat kartini,neutral,selamat kartini
71,bajingan homo\nhati2 anak2 kamar mandi laki2 jgn biarkan url,harassment,bajingan homonhati anak kamar mandi laki jangan biarkan url
72,user iya cocot,violence,iya cocot
73,user budaya indonesia,neutral,budaya indonesia
74,user ngajarin solata ajah orang aseng memecah belah islam,racist,ngajarin solata ajah orang aseng memecah belah islam
75,lo ngomong aja kaga bener bangke,violence,lo ngomong saja kaga benar bangke
76,user user mempercayai yg negara disuatu dijajah,neutral,mempercayai yang negara disuatu dijajah
77,mainnya gitu pengen menang lha yo opo,neutral,mainya gitu pengen menang lha yo opo
78,kalo seumpama orang cina usir paksa indonesia gimana,racist,kalau seumpama orang cina usir paksa indonesia gimana
79,user bunda ngentot yuk,harassment,bunda ngentot yuk
80,china babi china maling\nusir china,racist,china babi china malingnusir china
81,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing keboohannya,racist,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing kebohanya
82,picek goblok tu mata ga dipake,violence,picek goblok tu mata tidak dipake
83,user wajar lihat tingkah bbrp petinggi negeri yg suka mencampur bh indonesia dgn bh asing kali bicara,neutral,wajar lihat tingkah brp petingi negeri yang suka mencampur bh indonesia dengan bh asing kali bicara
84,pribadi yg senang berkompetisi positif,neutral,pribadi yang senang berkompetisi positif
85,gua liat babi ngendon,violence,gua liat babi ngendon
86,user suka nutup mata kaga ditutup udah tertutup gara2 sipit,racist,suka nutup mata kaga ditutup sudah tertutup gara sipit
87,user sy sbg muslim tdk user menistakan kitab suci alquran krn dlm alquran sndri bbrp suku yg smpai dtik blm mkna faktualnya olh umat islam tp yakini tsb makna yg tersirat fiksi yg blm,neutral,sy sbg muslim tidak menistakan kitab suci alquran krn dlm alquran sndri brp suku yang smpai dtik belum mkna faktualnya olh umat islam tp yakini tsb makna yang tersirat fiksi yang belum
88,user eh kasar kau kampang,violence,eh kasar kau kampang
89,bentar gua rilis album the ontas wkwkwkwkwk,racist,bentar gua rilis album the ontas wkwkwkwkwk
90,user cebong bang,racist,cebong bang
91,najis banget gw ngechat barusan wey,neutral,najis banget saya ngechat barusan wey
92,transgender gmn anjing url,violence,transgender gmn anjing url
93,user awas bintitan lu ngintipin titit kucing,harassment,awas bintitan kamu ngintipin titit kucing
94,user user bawel baper bolot bodor gaje wkwk ya udah aja deh,violence,bawel baper bolot bodor gaje ya sudah saja deh
95,user user user user gue saranin gk bnyk bacot maling ayat langsung to the point aja lu orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa hatimu puas dehh,violence,saya saranin gk bnyk bacot maling ayat langsung to the point saja kamu orang yang tidak sepaham kamu teriakin saja kafir sesat liberal pemuja dukun bla bla hatimu puas deh
96,kacau lu mainnya goblok,violence,kacau kamu mainya goblok
97,main ga sih kalah mulu bego,violence,main tidak kalah mulu bego
98,maju lu duit kau goyang kaki pape la duit nak maju kat kau bodo,violence,maju kamu duit kau goyang kaki pape la duit nak maju kat kau bodo
99,anjirrrr pa banget bro ngeluarin ultinya berbalik ni,neutral,anjir pa banget bro ngeluarin ultinya berbalik ni
100,ha ha baca biar pintar jepang amerika china utang lu tau,neutral,ha ha baca biar pintar jepang amerika china utang kamu tau
101,gue dah carry loe pade loe berterima kasih gue,neutral,saya dah cary loe pade loe berterima kasih saya
102,user user takut adzan iblis,neutral,takut adzan iblis
103,user user yg goblog ban cebong tukang tipu penjilat penguasa yg ketahuan gerakin yg dibayar pakai nasi bungkus propaganda nasi bungkus gagal,racist,yang goblog ban cebong tukang tipu penjilat penguasa yang ketahuan gerakin yang dibayar pakai nasi bungkus propaganda nasi bungkus gagal
104,user user user user wuih cebong sewot\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence,wuih cebong sewotn
105,2 gerakan menekankan kerja kera total tingkatkan potensi bangsa,neutral,gerakan menekankan kerja kera total tingkatkan potensi bangsa
106,payah lu gitu aja kalah curut aja pinter lu,violence,payah kamu gitu saja kalah curut saja pinter kamu
107,widih savage banget ngalahin pro player senjata ala kadarnya,neutral,widih savage banget ngalahin pro player senjata ala kadarnya
108,orang orang menuding antek aseng aseng sesungguhnya bertepuk tangan,racist,orang orang menuding antek aseng aseng sesunguhnya bertepuk tangan
109,user loh anti aseng,racist,loh anti aseng
110,selamat user semoga berkiprah tingkat nasional,neutral,selamat semoga berkiprah tingkat nasional
111,anjay menang ggwp gaes,neutral,anjay menang gwp teman-teman
112,tau ga bro kemarin gw liat tim onoh maennya imba banget ga ngalahin kalo ga savage,neutral,tau tidak bro kemarin saya liat tim onoh maenya imba banget tidak ngalahin kalau tidak savage
113,user anak pecun ga jauh2 dr hobi zina haha,violence,anak pecun tidak jauh dari hobi zina haha
114,lu ngancurin lawan ga noob sih mainnya,neutral,kamu ngancurin lawan tidak nob mainya
115,musuh loh friendly fire,neutral,musuh loh friendly fire
116,jelek muka gw dibicarain temen lo,neutral,jelek muka saya dibicarain temen lo
117,pria sukses menghasilkan uang istrinya habiskan perempuan sukses menemukan lakilaki,neutral,pria sukses menghasilkan uang istrinya habiskan perempuan sukses menemukan lakilaki
118,user cium ni pantat,harassment,cium ni pantat
119,user user ngakunya org pintar beragama emangnya agama yg memperbolehkan menista menghujat org jgnkan orang bodoh org yg maaf lahir idiot hr hargain ciptaan tuhan iblis pintar licik,neutral,ngakunya org pintar beragama emangnya agama yang memperbolehkan menista menghujat org jgnkan orang bodoh org yang maf lahir idiot hr hargain ciptan tuhan iblis pintar licik
120,4nj1n9 tu emang orangnya,violence,njn tu memang orangnya
121,payah sih pecun klo maen mesti beban mulu,harassment,payah pecun klo maen mesti beban mulu
122,w mantan mantan w mgerasa sedih ampe kepikiran gabisa tidur lohh w ngerasa anak yg brengsek aja gt laki2,neutral,w mantan mantan w mgerasa sedih ampe kepikiran gabisa tidur loh w ngerasa anak yang brengsek saja gt laki
123,cina perusak bangsa usir stuju,racist,cina perusak bangsa usir stuju
124,gini nih kalo planga plongo kelakuan otoriter,violence,gini kalau planga plongo kelakuan otoriter
125,ayo menangin ronde kayak ronde kalah mulu,neutral,ayo menangin ronde kayak ronde kalah mulu
126,tim gua gua pro pake karakter,neutral,tim gua gua pro pake karakter
127,ayo mabar gaes buruan masuk tim gw gw dah login ni,neutral,ayo mabar teman-teman buruan masuk tim saya saya dah login ni
128,cowo jago drasex ngentot adek luvian,harassment,cowo jago drasex ngentot adek luvian
129,bule kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,racist,bule kapir taungapain blajar sama kapirudh lupa sama kapling sorga
130,user user loh nya emang suka homoan hode ya,harassment,loh nya memang suka homoan hode ya
131,gue tau loh culun cemen orang berubah perlahan2 buruk,neutral,saya tau loh culun cemen orang berubah perlahan buruk
132,game masternya baek banget ga segan ngabisin cheater ketahuan betah gw,neutral,game masternya baek banget tidak segan ngabisin cheater ketahuan betah saya
133,kejar setorang bangsad rupiah turun \xf0\x9f\x98\xa5,neutral,kejar setorang bangsad rupiah turun
134,kagak bener ni maennya mati aja lu noob,violence,kagak benar ni maenya mati saja kamu nob
135,user bangke hajar,violence,bangke hajar
136,onta mati klo kebanyakan minum,neutral,onta mati klo kebanyakan minum
137,hajar ancurin kasih ampun,violence,hajar ancurin kasih ampun
138,ez banget bunuh cupu abis tu emang orang jawa ga maen bagus,racist,ez banget bunuh cupu abis tu memang orang jawa tidak maen bagus
139,uang membeli kebahagiaan enak nangis dalem mercy nangis motor butut khan,neutral,uang membeli kebahagian enak nangis dalem mercy nangis motor butut khan
140,tujuan hati\nlogikaku yg \ntapi hati tenang\naku logika \nhatiku sedih \nku cari wasiat yg beliau tinggalkan \ndan terasing asing mata manusia \ntak duhai,neutral,tujuan hatinlogikaku yang ntapi hati tenangnaku logika nhatiku sedih nku cari wasiat yang beliau tingalkan ndan terasing asing mata manusia ntak duhai
141,ga nyali banget si pengecut,violence,tidak nyali banget si pengecut
142,noob tolol tim tolol\ntim tolol orang tolol,violence,nob tolol tim tololntim tolol orang tolol
143,ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak url,harassment,ayu ting ting goyang hot rafi ahmad nagita slavina kampungan norak url
144,video ttg tka malaysia mengutip pernyataan user,neutral,video tg tka malaysia mengutip pernyatan
145,buruburu ngalahin pro player strategi gg,neutral,buruburu ngalahin pro player strategi g
146,random pagi2 bapak2 nyamperin meja kerja trus nanya pake bedak sih biar mukanya bersih istri butek soalnya\ningin ku pake air wudhu ku kristen,neutral,random pagi bapak nyamperin meja kerja terus nanya pake bedak biar mukanya bersih istri butek soalnyaningin ku pake air wudhu ku kristen
147,user user kampret,violence,kampret
148,memek lonte pengen disodok kontol gede,harassment,memek lonte pengen disodok kontol gede
149,liat tu kampret terbang pepohonan,neutral,liat tu kampret terbang pepohonan
150,user ngomong opo itumulut bancibeli kaca lihat dirimu broo,harassment,ngomong opo itumulut bancibeli kaca lihat dirimu bro
151,user amin rasis\nada dani\nada ratna si paiiit\nada si onta\nada si lobang anus\njdi jngan takut wo wo\nkehabisan obat penenang yh,violence,amin rasisnada daninada ratna si paitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat penenang yh
152,user tunggu komando imam bejat cabul user taik beer \xf0\x9f\x8d\xba\n\nape2 bawa ulama\ndasar banj sempak,harassment,tungu komando imam bejat cabul taik ber nape bawa ulamandasar banj sempak
153,dih liat buaya tebar pesona,violence,dih liat buaya tebar pesona
154,dih ngaku pro gue ngaca woyy tampang loe aja k\xc3\xa6k orang bego user ckakakakak,violence,dih ngaku pro saya ngaca woy tampang loe saja k orang bego ckakakakak
155,gim dikuasai antek cina pelit banget pribumi ngasih item,racist,gim dikuasai antek cina pelit banget pribumi ngasih item
156,user user ga caya mulut buaya mu bwang,violence,tidak caya mulut buaya mu bwang
157,kalo maen serius dikit napa kayak tai,violence,kalau maen serius dikit napa kayak tai
158,kayak banci kaleng gatot gaduh gentleman mundur bersaing,harassment,kayak banci kaleng gatot gaduh gentleman mundur bersaing
159,bebal emang dikasih tau ga didengerin udah dibilang gegabah ga didengerin,neutral,bebal memang dikasih tau tidak didengerin sudah dibilang gegabah tidak didengerin
160,emang pengen banget bikin muslim terpecah belah namanya antek komunis parah bener kelakuan komunis tu,racist,memang pengen banget bikin muslim terpecah belah namanya antek komunis parah benar kelakuan komunis tu
161,kelakuan kayak kunyuk nih nubie,violence,kelakuan kayak kunyuk nubie
162,eh nubi yang kagak bisa maen mending mati aja sana,violence,eh nubi yang kagak bisa maen mending mati saja sana
163,ez win nih ggwp cakep guy,neutral,ez win gwp cakep guy
164,user eh muka merah2 tu dpt cendol la setan cuaca skrg ni panas,violence,eh muka merah tu dpt cendol la setan cuaca skrg ni panas
165,sesering apapun latian aja ga ngalahin imba emang noob tu ga level,violence,sesering apapun latian saja tidak ngalahin imba memang nob tu tidak level
166,emang asik liatin pro bertanding adrenalin terpacu sampe detik,neutral,memang asik liatin pro bertanding adrenalin terpacu sampe detik
167,syg bgt ya ngeliat perempuan kyk gini gak status apa2 tp udah nemplok sm lakilaki haduh\nnagita slavina blakblakan ayu ting ting kampungan \xe2\x80\x93 viva url,harassment,syg banget ya ngeliat perempuan kyk gini tidak status apa tp sudah nemplok sama lakilaki haduhnagita slavina blakblakan ayu ting ting kampungan viva url
168,muuph gan dc parah gw inet bersahabat,neutral,muph gan dc parah saya inet bersahabat
169,user ane cebong udeh dibilangin maren ngeyel\nsitu maksa ane cebong,racist,saya cebong udeh dibilangin maren ngeyelnsitu maksa saya cebong
170,kebangeten maennya gobloknya ga kira2 cupu bener,violence,kebangeten maenya gobloknya tidak kira cupu benar
171,selamat kartini kali dirayakan maknanya kali ð¤,neutral,selamat kartini kali dirayakan maknanya kali
172,foto bisu tpi memiliki arti yg sush diartikansma susah diartikanmau putus,neutral,foto bisu tpi memiliki arti yang sush diartikansma susah diartikanmau putus
173,hatihati troll udah bagus maennya ngerusak suasana,neutral,hatihati trol sudah bagus maenya ngerusak suasana
174,sombong bro nyamar noob kalo maen gg banget,neutral,sombong bro nyamar nob kalau maen g banget
175,buset gue lag banget nih sampe nggak gerak cuy,neutral,buset saya lag banget sampe ngak gerak cuy
176,user user hahaha sialaaan nih si user klo lg laper presiden disikat doiðð½,violence,hahaha sialan si klo lagi laper presiden disikat doi
177,user user user menasehati kali ga ugal2an nih rezim eh negeri sdh keburu ancornah skrg ekonomi morat marit kacaoooooo,violence,menasehati kali tidak ugalan rezim eh negeri sudah keburu ancornah skrg ekonomi morat marit kacao
178,user aelaah silit kebeler ngapa dikasianin org sayang pak\nsetelah sosmed gw sadar bbrapa seitansai kemarin\ntar gw ceritain duuuhhh \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85,violence,aelah silit kebeler ngapa dikasianin org sayang paknsetelah sosmed saya sadar brapa seitansai kemarintar saya ceritain duh
179,user iya tdi cacad bener maennya anjiiiiiiingggg,violence,iya tdi cacad benar maenya anjing
180,kalahin si perek pacarnya biarin ngewe gim,harassment,kalahin si perek pacarnya biarin ngewe gim
181,male dah gue main udah nggak bener toxic game,neutral,male dah saya main sudah ngak benar toxic game
182,maju cuy takut gwa lo,neutral,maju cuy takut gwa lo
183,hajar abisin kasih kendor klo troll aja ampe logout game klo sampe hapus id,violence,hajar abisin kasih kendor klo trol saja ampe logout game klo sampe hapus id
184,mudah ya yg kera yg kera nama,neutral,mudah ya yang kera yang kera nama
185,user kemarin hujat mengharap dasar ban kampret,racist,kemarin hujat mengharap dasar ban kampret
186,user penjelasan sy fitnah silahkan dibantah user alquran kitab sampah,violence,penjelasan sy fitnah silahkan dibantah alquran kitab sampah
187,monyet aja koloe dbilang saudra sma elo ogah hdupmu gini ya toe hati comberan user,violence,monyet saja koloe dbilang saudra sma elo ogah hdupmu gini ya toe hati comberan
188,perabotan dapur hidup praktis temukan peralatan dapur inovatif toko online nikmati penawaran spesial pembelian,neutral,perabotan dapur hidup praktis temukan peralatan dapur inovatif toko online nikmati penawaran spesial pembelian
189,user cacat krn blum bermasa,neutral,cacat krn blum bermasa
190,user user jangan2 penganut bumi datar \xf0\x9f\x98\x9d\nsoalnya teori bumi bulat orang asing yg notabane musuh,neutral,jangan penganut bumi datar nsoalnya teori bumi bulat orang asing yang notabane musuh
191,dasar penakut pengecut pecundang,violence,dasar penakut pengecut pecundang
192,enak banget dah tuh anjing sialan tinggal k aja,violence,enak banget dah tuh anjing sialan tingal k saja
193,vegetarian orang makan apapun memiliki anak,neutral,vegetarian orang makan apapun memiliki anak
194,user pencerahan nya gagal anak ekonomi wkwk,neutral,pencerahan nya gagal anak ekonomi
195,user user user user kafan berasal budaya yahudi umat islam mengklaim,neutral,kafan berasal budaya yahudi umat islam mengklaim
196,dasar cina komunis gay homo jomok maho hode troll,harassment,dasar cina komunis gay homo jomok maho hode trol
197,user user tanda nya rematch ga terima gg maennya,neutral,tanda nya rematch tidak terima g maenya
198,udah level wa bantu ngegrinding ga,neutral,sudah level wa bantu ngegrinding tidak
199,bro login ayok gue udah otg nih,neutral,bro login ayok saya sudah otg
200,user apaansi tai gt doang belagunya udah selangit ga inget karma ntar bbrp taun kalo idol lu flop gua ketawa kera,violence,apansi tai gt doang belagunya sudah selangit tidak inget karma ntar brp taun kalau idol kamu flop gua ketawa kera
201,user user celeng kgn gw y,violence,celeng kgn saya y
202,sorus kemarin gue dc garagara mati lampu rumah gue,neutral,sorus kemarin saya dc garagara mati lampu rumah saya
203,bantuin gue mythic pake akun smurf lo,neutral,bantuin saya mythic pake akun smurf lo
204,user aamiin ya allah \ntimnya kinan aja pelatihan ular rawarawa dapatnya sungai gede gt musuhnya buaya wkwkw,neutral,amin ya alah ntimnya kinan saja pelatihan ular rawarawa dapatnya sungai gede gt musuhnya buaya wkwkw
205,user user maju ngatain mama bolot,violence,maju ngatain mama bolot
206,grombolan kadal jidat gosongmmg bgtu sukanya ribut klo grombolanya yg salah pura2 budekdasar grombolan cingkrang url,violence,grombolan kadal jidat gosongmg bgtu sukanya ribut klo grombolanya yang salah pura budekdasar grombolan cingkrang url
207,user user user segitu gentarnya takut kafir\xf0\x9f\x98\x81,racist,segitu gentarnya takut kafir
208,gerombolan babi kelakuannya kayak gitu bikin susah aja,violence,gerombolan babi kelakuanya kayak gitu bikin susah saja
209,user bego lu tmn gua najis dah kesel gue,violence,bego kamu tmn gua najis dah kesel saya
210,user user kafir kristen ulah,racist,kafir kristen ulah
211,user tau bau baunya udh keciri sipit buluq,racist,tau bau baunya udh keciri sipit buluq
212,user kayak memegang mucikari,harassment,kayak memegang mucikari
213,yo maen gim aja udah sepi,neutral,yo maen gim saja sudah sepi
214,user anjir serem maennya begituan bikin sange tau \xf0\x9f\x98\x82\xf0\x9f\x91\x8c,harassment,anjir serem maenya begituan bikin sange tau
215,bro gue afk ya disuruh sholat maghrib,neutral,bro saya afk ya disuruh sholat maghrib
216,user user user user onta yaman ni,violence,onta yaman ni
217,hatihati berita berbau hoax,neutral,hatihati berita berbau hoax
218,user anak modal cocot ya user,violence,anak modal cocot ya
219,ketauan nubi banget tu orang payah,violence,ketauan nubi banget tu orang payah
220,mantaaap maennya gg banget bang,neutral,mantap maenya g banget bang
221,lebah yg gak suka bunga makan bangkai gw penasaran madu nya kaya gimana \xf0\x9f\xa4\x94,neutral,lebah yang tidak suka bunga makan bangkai saya penasaran madu nya kaya gimana
222,user user indonesia mundur bentuk lha maen game aja cupu cupu gini,violence,indonesia mundur bentuk lha maen game saja cupu cupu gini
223,user user user user naahh yg dongo yg bilang hekell hahaha,violence,nah yang dongo yang bilang hekel hahaha
224,dasar buaya tau player cewe dikeroyok kayak tu cewe pengen dientot aja,harassment,dasar buaya tau player cewe dikeroyok kayak tu cewe pengen dientot saja
225,bangsad gua dah nyelem ampe bawah2 lgi,violence,bangsad gua dah nyelem ampe bawah lgi
226,dipancingpancing dgn urusan penistaan berbicara pemahaman ttg fiksi kitab suci,neutral,dipancingpancing dengan urusan penistan berbicara pemahaman tg fiksi kitab suci
227,user user user user cebong kacung kt temen gw dungunya sampe tulang sum2jd jgn buang2 energi debat sm mereka\xf0\x9f\x98\x82,racist,cebong kacung kt temen saya dungunya sampe tulang sumjd jangan buang energi debat sama mereka
228,user tukang ngetroll toxicgoblog,violence,tukang ngetrol toxicgoblog
229,signal kntl pemeliharaan niat gak sih login doank susah gmn open redtube cetan user,violence,signal kntl pemeliharan niat tidak login doank susah gmn open redtube cetan
230,user user matane moh kafir wkwkwk,violence,matane moh kafir
231,user inget fesbuk anjir lupa,neutral,inget fesbuk anjir lupa
232,user kalo aing sih bilang hilih kntl,violence,kalau aing bilang hilih kntl
233,elu udah pake hijab yg ngomong cebang cebong udah fantasiin doi belom uh ah,harassment,elu sudah pake hijab yang ngomong cebang cebong sudah fantasin doi belom uh ah
234,user tatapannya dialihkan arah enggan menatap pria mencurigakan lagipula kali gaduh suasana,neutral,tatapanya dialihkan arah engan menatap pria mencurigakan lagipula kali gaduh suasana
235,tenang google membantu memecahkan hidup lu chatgpt,neutral,tenang gogle membantu memecahkan hidup kamu chatgpt
236,calon cantik ni anak liat aja avanya,neutral,calon cantik ni anak liat saja avanya
237,ya terserah lo aja balasnya fokus kerjaan tugas project seni budaya 2 setelahnya langsung dikumpul dipresentasikan bersyukur nilainya memuaskan kejadian project,neutral,ya terserah lo saja balasnya fokus kerjaan tugas project seni budaya setelahnya langsung dikumpul dipresentasikan bersyukur nilainya memuaskan kejadian project
238,ga bro imba bener susah menang mending fokus cari item,neutral,tidak bro imba benar susah menang mending fokus cari item
239,kelakuan bodoh udah tau kalah nekat,violence,kelakuan bodoh sudah tau kalah nekat
240,monyet turun pemukiman ni,violence,monyet turun pemukiman ni
241,user kotor ga bahagia warganya cebong ngerti,violence,kotor tidak bahagia warganya cebong ngerti
242,giveaway taplak meja menang therichchenle,neutral,giveaway taplak meja menang therichchenle
